index,x1_b,x1_t,x2_b,x2_t,x3_b,x3_t,x4_b,x4_t,x5_b,x5_t,x6_b,x6_t,x7_b,x7_t,x8_b,x8_t,x9_b,x9_t,x10_b,x10_t,_cons_b,_cons_t,nobs,ncoef,r2adj
285,0.0028357094,0.89428616,,,-0.003049665,-0.9623189,0.0036910062,1.1674962,0.0034352771,1.0848439,,,,,,,-0.0020647994,-0.6520706,,,,,100000,6,-3.0321915329700744e-6
26,,,0.001074817,0.33927572,,,0.0037014096,1.170792,0.0034223157,1.0807556,,,,,,,,,,,,,100000,4,-3.1783052041323145e-6
60,,,,,-0.0030434008,-0.9603478,0.0036939788,1.1684403,0.0034438209,1.0875443,0.0013665329,0.43113053,,,,,,,,,,,100000,5,-3.284070186460042e-6
140,,,,,-0.0030249436,-0.954539,0.0037239736,1.1779594,,,,,,,-0.0019262076,-0.60827005,,,,,,,100000,4,-3.357124503278186e-6
80,,,,,,,,,0.0034600557,1.0927006,,,0.002157154,0.6819227,,,,,,,,,100000,3,-3.4301773585987405e-6
157,0.0028274476,0.8916863,,,-0.0030551378,-0.9640448,0.0036901922,1.1672392,0.0034412309,1.0867205,,,,,-0.0019339601,-0.61071616,,,,,,,100000,6,-3.4494449092647983e-6
73,0.0028222005,0.8900431,,,,,0.003714201,1.1748557,,,,,0.0021517829,0.68022764,,,,,,,,,100000,4,-3.595550235102607e-6
600,,,,,,,0.0036977683,1.1696396,0.0034185958,1.0795575,,,0.0021678188,0.6852917,,,,,0.002446809,0.7712185,,,100000,5,-3.820533448051222e-6
272,,,,,,,,,0.0034503834,1.0896541,,,,,,,-0.0020515649,-0.6478963,,,,,100000,3,-3.847418216906817e-6
512,,,,,,,,,,,,,,,,,,,0.0024778345,0.7810191,,,100000,2,-3.8608601982126345e-6
265,0.0028305217,0.89266115,,,,,0.0037122597,1.1742433,,,,,,,,,-0.002069755,-0.6536357,,,,,100000,4,-3.953188832950261e-6
30,,,0.001062341,0.33533445,-0.0030351111,-0.95772743,0.003702058,1.1709963,0.0034380357,1.0857054,,,,,,,,,,,,,100000,5,-3.999354535322297e-6
529,0.0028271447,0.8916063,,,,,,,0.0034275255,1.0824053,,,,,,,,,0.0024503819,0.7723459,,,100000,4,-4.132008132096132e-6
40,,,,,,,0.003715607,1.1753061,,,0.0013546242,0.42737523,,,,,,,,,,,100000,3,-4.205053238282019e-6
792,,,,,,,0.0036960815,1.1691077,0.003409173,1.0765897,,,,,,,-0.002075429,-0.65541506,0.0024604986,0.77551377,,,100000,5,-4.23778265168373e-6
84,,,,,-0.0030330769,-0.95709115,,,0.003475228,1.0974772,,,0.0021497693,0.6795861,,,,,,,,,100000,4,-4.310827431019959e-6
144,,,,,,,,,0.00345664,1.0916265,,,,,-0.001924828,-0.60783345,,,,,,,100000,3,-4.324264912147768e-6
604,,,,,-0.0030386914,-0.95886105,0.0036991902,1.1700888,0.0034339307,1.0843856,,,0.0021604644,0.6829646,,,,,0.0024520562,0.77287096,,,100000,6,-4.462774537472569e-6
137,0.002822359,0.8900927,,,,,0.0037114706,1.1739942,,,,,,,-0.0019201863,-0.6063691,,,,,,,100000,4,-4.489646729943786e-6
77,0.0028355762,0.8942523,,,-0.0030292624,-0.95589024,0.0037153799,1.1752281,,,,,0.0021445719,0.6779458,,,,,,,,,100000,5,-4.535817797135522e-6
57,0.0028247018,0.89080817,,,,,0.0036820006,1.1646413,0.0034219183,1.0806378,0.0013771076,0.43445817,,,,,,,,,,,100000,5,-4.59542482622588e-6
516,,,,,-0.003025106,-0.9545895,,,,,,,,,,,,,0.0024830725,0.78266853,,,100000,3,-4.6818999335229705e-6
269,0.0028438745,0.89686334,,,-0.0030322326,-0.95682967,0.0037135244,1.174643,,,,,,,,,-0.0020666104,-0.6526419,,,,,100000,5,-4.714638884406597e-6
664,,,,,,,0.003695191,1.1688262,0.0034151906,1.0784864,,,,,-0.0019265554,-0.6083779,,,0.0024433201,0.7701181,,,100000,5,-4.714638884406597e-6
